Ligand,Protein,Affinity_kcal/mol
u_ligands_1.pdbqt,4KIK,-6.179
u_ligands_10.pdbqt,4KIK,-7.159
u_ligands_11.pdbqt,4KIK,-6.223
u_ligands_12.pdbqt,4KIK,-4.966
u_ligands_13.pdbqt,4KIK,-5.091
u_ligands_14.pdbqt,4KIK,-4.628
u_ligands_15.pdbqt,4KIK,-6.621
u_ligands_16.pdbqt,4KIK,-8.148
u_ligands_17.pdbqt,4KIK,-4.979
u_ligands_18.pdbqt,4KIK,-4.963
u_ligands_19.pdbqt,4KIK,-4.215
u_ligands_2.pdbqt,4KIK,-6.006
u_ligands_20.pdbqt,4KIK,-4.127
u_ligands_21.pdbqt,4KIK,-7.242
u_ligands_22.pdbqt,4KIK,-7.206
u_ligands_3.pdbqt,4KIK,-4.912
u_ligands_4.pdbqt,4KIK,-6.924
u_ligands_5.pdbqt,4KIK,-5.549
u_ligands_6.pdbqt,4KIK,-7.992
u_ligands_7.pdbqt,4KIK,-4.967
u_ligands_8.pdbqt,4KIK,-7.318
u_ligands_9.pdbqt,4KIK,-7.807
u_ligands_1.pdbqt,4L7F,-6.323
u_ligands_10.pdbqt,4L7F,-7.198
u_ligands_11.pdbqt,4L7F,-6.557
u_ligands_12.pdbqt,4L7F,-5.421
u_ligands_13.pdbqt,4L7F,-5.461
u_ligands_14.pdbqt,4L7F,-4.447
u_ligands_15.pdbqt,4L7F,-6.602
u_ligands_16.pdbqt,4L7F,-8.317
u_ligands_17.pdbqt,4L7F,-5.030
u_ligands_18.pdbqt,4L7F,-5.101
u_ligands_19.pdbqt,4L7F,-4.285
u_ligands_2.pdbqt,4L7F,-6.558
u_ligands_20.pdbqt,4L7F,-4.105
u_ligands_21.pdbqt,4L7F,-7.110
u_ligands_22.pdbqt,4L7F,-7.589
u_ligands_3.pdbqt,4L7F,-4.804
u_ligands_4.pdbqt,4L7F,-7.720
u_ligands_5.pdbqt,4L7F,-5.726
u_ligands_6.pdbqt,4L7F,-8.514
u_ligands_7.pdbqt,4L7F,-5.253
u_ligands_8.pdbqt,4L7F,-7.621
u_ligands_9.pdbqt,4L7F,-7.848
